Country,Region/State,Zip/Postal Codee,Weight (and above),Shipping Price,BSPname
AU,QLD,4554,0,15,SUNSHINE COAST
AU,QLD,4555,0,15,SUNSHINE COAST
AU,QLD,4556,0,15,SUNSHINE COAST
AU,QLD,4557,0,15,SUNSHINE COAST
AU,QLD,4558,0,15,SUNSHINE COAST
AU,QLD,4559,0,15,SUNSHINE COAST
AU,QLD,4560,0,15,SUNSHINE COAST
AU,QLD,4561,0,15,SUNSHINE COAST
AU,QLD,4562,0,15,SUNSHINE COAST
AU,QLD,4563,0,15,SUNSHINE COAST
AU,QLD,4564,0,15,SUNSHINE COAST
AU,QLD,4565,0,15,SUNSHINE COAST
AU,QLD,4566,0,15,SUNSHINE COAST
AU,QLD,4567,0,15,SUNSHINE COAST
AU,QLD,4568,0,15,SUNSHINE COAST
AU,QLD,4569,0,15,SUNSHINE COAST
AU,QLD,4570,0,15,SUNSHINE COAST
AU,QLD,4571,0,15,SUNSHINE COAST
AU,QLD,4572,0,15,SUNSHINE COAST
AU,QLD,4573,0,15,SUNSHINE COAST
AU,QLD,4574,0,15,SUNSHINE COAST
AU,QLD,4575,0,15,SUNSHINE COAST
AU,QLD,4580,0,15,SUNSHINE COAST
AU,QLD,4581,0,15,SUNSHINE COAST
AU,QLD,4600,0,15,SUNSHINE COAST
AU,QLD,4601,0,15,SUNSHINE COAST
AU,QLD,4605,0,15,TOOWOOMBA REGION
AU,QLD,4606,0,15,TOOWOOMBA REGION
AU,QLD,4608,0,15,TOOWOOMBA REGION
AU,QLD,4610,0,15,TOOWOOMBA REGION
AU,QLD,4611,0,15,TOOWOOMBA REGION
AU,QLD,4612,0,15,TOOWOOMBA REGION
AU,QLD,4613,0,15,TOOWOOMBA REGION
AU,QLD,4614,0,15,TOOWOOMBA REGION
AU,QLD,4615,0,15,TOOWOOMBA REGION
AU,QLD,4620,0,15,SUNSHINE COAST
AU,QLD,4621,0,15,SUNSHINE COAST
AU,QLD,4625,0,15,SUNSHINE COAST
AU,QLD,4626,0,15,SUNSHINE COAST
AU,QLD,4627,0,15,SUNSHINE COAST
AU,QLD,4630,0,15,SUNSHINE COAST
AU,QLD,4650,0,15,SUNSHINE COAST
AU,QLD,4655,0,15,SUNSHINE COAST
AU,QLD,4659,0,15,SUNSHINE COAST
AU,QLD,4660,0,15,SUNSHINE COAST
AU,QLD,4662,0,15,SUNSHINE COAST
AU,QLD,4670,0,15,SUNSHINE COAST
AU,QLD,4671,0,15,SUNSHINE COAST
AU,QLD,4673,0,15,SUNSHINE COAST
AU,QLD,4674,0,15,SUNSHINE COAST
AU,QLD,4676,0,15,SUNSHINE COAST
AU,QLD,4677,0,20,ROCKHAMPTON MC
AU,QLD,4678,0,20,ROCKHAMPTON MC
AU,QLD,4680,0,20,ROCKHAMPTON MC
AU,QLD,4694,0,20,ROCKHAMPTON MC
AU,QLD,4695,0,20,ROCKHAMPTON MC
AU,QLD,4697,0,20,ROCKHAMPTON MC
AU,QLD,4699,0,20,ROCKHAMPTON MC
AU,QLD,4700,0,20,ROCKHAMPTON MC
AU,QLD,4701,0,20,ROCKHAMPTON MC
AU,QLD,4702,0,20,ROCKHAMPTON MC
AU,QLD,4703,0,20,ROCKHAMPTON MC
AU,QLD,4704,0,20,ROCKHAMPTON MC
AU,QLD,4705,0,20,ROCKHAMPTON MC
AU,QLD,4706,0,20,ROCKHAMPTON MC
AU,QLD,4707,0,20,ROCKHAMPTON MC
AU,QLD,4709,0,20,ROCKHAMPTON MC
AU,QLD,4710,0,20,ROCKHAMPTON MC
AU,QLD,4711,0,20,ROCKHAMPTON MC
AU,QLD,4712,0,20,ROCKHAMPTON MC
AU,QLD,4713,0,20,ROCKHAMPTON MC
AU,QLD,4714,0,20,ROCKHAMPTON MC
AU,QLD,4715,0,20,ROCKHAMPTON MC
AU,QLD,4716,0,20,ROCKHAMPTON MC
AU,QLD,4717,0,20,ROCKHAMPTON MC
AU,QLD,4718,0,20,ROCKHAMPTON MC
AU,QLD,4719,0,20,ROCKHAMPTON MC
AU,QLD,4720,0,20,ROCKHAMPTON MC
AU,QLD,4721,0,20,ROCKHAMPTON MC
AU,QLD,4722,0,20,ROCKHAMPTON MC
AU,QLD,4723,0,20,ROCKHAMPTON MC
AU,QLD,4724,0,20,ROCKHAMPTON MC
AU,QLD,4725,0,20,ROCKHAMPTON MC
AU,QLD,4726,0,20,ROCKHAMPTON MC
AU,QLD,4727,0,20,ROCKHAMPTON MC
AU,QLD,4728,0,20,ROCKHAMPTON MC
AU,QLD,4730,0,20,ROCKHAMPTON MC
AU,QLD,4731,0,20,ROCKHAMPTON MC
AU,QLD,4732,0,20,ROCKHAMPTON MC
AU,QLD,4733,0,20,ROCKHAMPTON MC
AU,QLD,4735,0,20,ROCKHAMPTON MC
AU,QLD,4736,0,20,ROCKHAMPTON MC
AU,QLD,4737,0,20,ROCKHAMPTON MC
AU,QLD,4738,0,20,ROCKHAMPTON MC
AU,QLD,4739,0,20,ROCKHAMPTON MC
AU,QLD,4740,0,20,ROCKHAMPTON MC
AU,QLD,4741,0,20,ROCKHAMPTON MC
AU,QLD,4742,0,20,ROCKHAMPTON MC
AU,QLD,4743,0,20,ROCKHAMPTON MC
AU,QLD,4744,0,20,ROCKHAMPTON MC
AU,QLD,4745,0,20,ROCKHAMPTON MC
AU,QLD,4746,0,20,ROCKHAMPTON MC
AU,QLD,4750,0,20,ROCKHAMPTON MC
AU,QLD,4751,0,20,ROCKHAMPTON MC
AU,QLD,4753,0,20,ROCKHAMPTON MC
AU,QLD,4754,0,20,ROCKHAMPTON MC
AU,QLD,4756,0,20,ROCKHAMPTON MC
AU,QLD,4757,0,20,ROCKHAMPTON MC
AU,QLD,4798,0,20,ROCKHAMPTON MC
AU,QLD,4799,0,20,ROCKHAMPTON MC
AU,QLD,4800,0,20,ROCKHAMPTON MC
AU,QLD,4801,0,20,ROCKHAMPTON MC
AU,QLD,4802,0,20,ROCKHAMPTON MC
AU,QLD,4803,0,20,ROCKHAMPTON MC
AU,QLD,4804,0,20,NORTH QLD
AU,QLD,4805,0,20,NORTH QLD
AU,QLD,4806,0,20,NORTH QLD
AU,QLD,4807,0,20,NORTH QLD
AU,QLD,4808,0,20,NORTH QLD
AU,QLD,4809,0,20,NORTH QLD
AU,QLD,4810,0,20,NORTH QLD
AU,QLD,4811,0,20,NORTH QLD
AU,QLD,4812,0,20,NORTH QLD
AU,QLD,4813,0,20,NORTH QLD
AU,QLD,4814,0,20,NORTH QLD
AU,QLD,4815,0,20,NORTH QLD
AU,QLD,4816,0,20,NORTH QLD
AU,QLD,4817,0,20,NORTH QLD
AU,QLD,4818,0,20,NORTH QLD
AU,QLD,4819,0,20,NORTH QLD
AU,QLD,4820,0,20,NORTH QLD
AU,QLD,4821,0,20,NORTH QLD
AU,QLD,4822,0,20,NORTH QLD
AU,QLD,4823,0,20,NORTH QLD
AU,QLD,4824,0,20,NORTH QLD
AU,QLD,4825,0,20,NORTH QLD
AU,QLD,4828,0,20,NORTH QLD
AU,QLD,4829,0,20,NORTH QLD
AU,QLD,4830,0,20,NORTH QLD
AU,QLD,4849,0,20,NORTH QLD
AU,QLD,4850,0,20,NORTH QLD
AU,QLD,4852,0,20,NORTH QLD
AU,QLD,4854,0,20,NORTH QLD
AU,QLD,4855,0,20,NORTH QLD
AU,QLD,4856,0,20,NORTH QLD
AU,QLD,4857,0,20,NORTH QLD
AU,QLD,4858,0,20,NORTH QLD
AU,QLD,4859,0,20,NORTH QLD
AU,QLD,4860,0,20,NORTH QLD
AU,QLD,4861,0,20,NORTH QLD
AU,QLD,4865,0,20,NORTH QLD
AU,QLD,4868,0,20,NORTH QLD
AU,QLD,4869,0,20,NORTH QLD
AU,QLD,4870,0,20,NORTH QLD
AU,QLD,4871,0,20,NORTH QLD
AU,QLD,4872,0,20,NORTH QLD
AU,QLD,4873,0,20,NORTH QLD
AU,QLD,4874,0,20,NORTH QLD
AU,QLD,4875,0,20,NORTH QLD
AU,QLD,4876,0,20,NORTH QLD
AU,QLD,4877,0,20,NORTH QLD
AU,QLD,4878,0,20,NORTH QLD
AU,QLD,4879,0,20,NORTH QLD
AU,QLD,4880,0,20,NORTH QLD
AU,QLD,4881,0,20,NORTH QLD
AU,QLD,4882,0,20,NORTH QLD
AU,QLD,4883,0,20,NORTH QLD
AU,QLD,4884,0,20,NORTH QLD
AU,QLD,4885,0,20,NORTH QLD
AU,QLD,4886,0,20,NORTH QLD
AU,QLD,4887,0,20,NORTH QLD
AU,QLD,4888,0,20,NORTH QLD
AU,QLD,4890,0,20,NORTH QLD
AU,QLD,4891,0,20,NORTH QLD
AU,QLD,4892,0,20,NORTH QLD
AU,QLD,4895,0,20,NORTH QLD
AU,QLD,9000,0,15,BRISBANE CENTRAL
AU,QLD,9001,0,15,BRISBANE CENTRAL
AU,QLD,9002,0,15,BRISBANE CENTRAL
AU,QLD,9005,0,15,BRISBANE CENTRAL
AU,QLD,9007,0,15,BRISBANE CENTRAL
AU,QLD,9008,0,15,BRISBANE CENTRAL
AU,QLD,9009,0,15,BRISBANE CENTRAL
AU,QLD,9010,0,15,BRISBANE CENTRAL
AU,QLD,9013,0,15,BRISBANE CENTRAL
AU,QLD,9015,0,15,BRISBANE CENTRAL
AU,QLD,9016,0,15,BRISBANE CENTRAL
AU,QLD,9017,0,15,BRISBANE CENTRAL
AU,QLD,9018,0,15,BRISBANE CENTRAL
AU,QLD,9019,0,15,BRISBANE CENTRAL
AU,QLD,9020,0,15,BRISBANE CENTRAL
AU,QLD,9021,0,15,BRISBANE CENTRAL
AU,QLD,9022,0,15,BRISBANE CENTRAL
AU,QLD,9023,0,15,BRISBANE CENTRAL
AU,QLD,9464,0,15,MORETON
AU,QLD,9726,0,9,GOLD COAST
AU,QLD,9943,0,20,ROCKHAMPTON MC
AU,QLD,9944,0,20,ROCKHAMPTON MC
AU,WA,*,0,25,
AU,VIC,*,0,25,
AU,TAS,*,0,25,
AU,SA,*,0,25,
AU,NT,*,0,25,
AU,NSW,*,0,20,
AU,ACT,*,0,25,
